step,t,atom_id,mol_id,x,y,z,S_i,S_avg,c_label
1,13000000,1507,11.0,4.77395,5.82514,8.26902,-7.122,-5.925,1
1,13000000,795,6.0,7.83992,8.26462,12.9965,-5.534,-5.284,0
1,13000000,832,6.0,13.5952,14.4576,10.5904,-6.905,-5.765,0
1,13000000,831,6.0,13.4173,14.5866,10.9144,-6.209,-5.771,0
1,13000000,827,6.0,12.6232,15.3795,10.7289,-6.597,-6.359,1
1,13000000,4474,30.0,15.7381,13.0104,11.2435,-3.835,-4.987,0
1,13000000,4475,30.0,15.3655,13.0218,11.1329,-5.693,-5.044,0
1,13000000,4476,30.0,15.1064,12.9248,11.413,-5.28,-5.054,0
1,13000000,3490,24.0,1.79594,11.2009,11.0968,-5.524,-5.183,0
1,13000000,3489,24.0,1.58928,11.2779,10.7652,-6.228,-5.15,0
1,13000000,3488,24.0,1.71749,11.0887,10.448,-6.311,-5.197,0
1,13000000,4477,30.0,14.7387,12.8685,11.2586,-5.406,-5.141,0
1,13000000,4478,30.0,14.7053,12.508,11.1153,-4.038,-5.048,0
1,13000000,7187,48.0,14.3377,15.7482,12.9229,-4.591,-5.291,0
1,13000000,3915,27.0,1.35692,16.2054,12.2397,-3.381,-4.687,0
1,13000000,3487,24.0,1.62609,11.2337,10.0907,-4.629,-5.206,0
1,13000000,3491,24.0,1.61818,11.326,11.4024,-5.164,-5.209,0
1,13000000,3920,27.0,16.1371,1.07989,12.714,-3.399,-5.062,0
1,13000000,2711,19.0,6.19491,1.53836,8.64582,-5.765,-5.499,0
1,13000000,4483,30.0,13.0811,12.3136,11.0604,-3.275,-5.096,0
1,13000000,7200,48.0,12.8627,13.4391,14.2804,-3.991,-5.085,0
1,13000000,7198,48.0,12.9766,14.0863,14.3295,-9.441,-5.277,0
1,13000000,7196,48.0,13.3831,14.5133,14.0205,-5.427,-5.307,0
1,13000000,7197,48.0,13.1367,14.2034,13.9836,-4.128,-5.306,0
